=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.28 10:47:00 =~=~=~=~=~=~=~=~=~=~=~=
Time,X,Y,Z,Sound
16327,9.55,0.59,-1.93,2.53
16356,9.63,0.62,-1.89,2.53
16385,9.57,0.50,-1.91,2.53
16414,9.60,0.54,-1.96,2.53
16443,9.57,0.51,-1.91,2.53
16473,9.59,0.55,-1.97,2.53
16501,9.57,0.58,-1.93,2.53
16531,9.68,0.58,-1.98,2.52
16560,9.59,0.48,-2.02,2.53
16588,9.55,0.53,-1.91,2.53
16618,9.60,0.53,-2.02,2.53
16647,9.57,0.48,-1.96,2.53
16676,9.58,0.59,-1.96,2.52
16705,9.62,0.56,-2.01,2.53
16735,9.57,0.55,-1.96,2.53
16763,9.63,0.52,-1.92,2.52
16793,9.56,0.56,-1.94,2.52
16822,9.58,0.58,-1.95,2.52
16850,9.51,0.58,-1.94,2.52
16880,9.61,0.52,-1.95,2.53
16909,9.56,0.55,-1.99,2.52
16939,9.55,0.56,-1.88,2.52
16967,9.59,0.48,-1.95,2.53
16997,9.55,0.56,-2.01,2.53
17026,9.60,0.57,-1.99,2.53
17054,9.62,0.55,-1.97,2.54
17084,9.57,0.54,-1.95,2.54
17113,9.59,0.47,-2.05,2.53
17142,9.63,0.54,-1.97,2.53
17171,9.61,0.56,-1.93,2.53
17201,9.56,0.53,-2.02,2.53
17229,9.52,0.53,-1.99,2.53
17259,9.64,0.56,-1.94,2.52
17288,9.54,0.53,-1.95,2.53
17316,9.54,0.56,-1.95,2.53
17346,9.67,0.60,-2.00,2.53
17375,9.64,0.55,-1.96,2.53
17404,9.58,0.60,-1.92,2.53
17433,9.62,0.56,-1.95,2.53
17463,9.57,0.60,-1.96,2.53
17491,9.59,0.59,-1.93,2.53
17520,9.53,0.54,-1.92,2.53
17550,9.56,0.48,-1.97,2.53
17579,9.55,0.52,-2.03,2.53
17608,9.57,0.56,-1.85,2.53
17637,9.50,0.56,-1.97,2.53
17667,9.59,0.58,-1.86,2.53
17695,9.60,0.46,-1.93,2.53
17724,9.55,0.53,-2.06,2.53
17754,9.59,0.55,-2.00,2.52
17782,9.61,0.47,-1.93,2.53
17812,9.59,0.55,-1.97,2.53
17841,9.66,0.60,-1.94,2.53
17870,9.56,0.52,-1.92,2.53
17899,9.66,0.54,-1.99,2.53
17929,9.61,0.59,-1.98,2.53
17957,9.58,0.54,-1.90,2.53
17986,9.67,0.53,-1.96,2.53
18016,9.55,0.51,-2.04,2.53
18044,9.57,0.57,-1.89,2.53
18074,9.61,0.56,-1.92,2.53
18103,9.58,0.52,-1.97,2.53
18132,9.55,0.54,-1.96,2.53
18161,9.61,0.62,-1.99,2.53
18191,9.62,0.53,-2.03,2.53
18220,9.55,0.62,-1.84,2.53
18248,9.60,0.54,-2.06,2.53
18278,9.59,0.53,-1.92,2.53
18307,9.60,0.55,-1.99,2.53
18336,9.57,0.56,-1.97,2.53
18365,9.63,0.52,-2.01,2.53
18395,9.53,0.57,-1.98,2.53
18423,9.53,0.52,-1.87,2.53
18452,9.57,0.51,-1.93,2.53
18482,9.55,0.54,-2.02,2.53
18510,9.58,0.49,-2.02,2.53
18540,9.65,0.56,-1.95,2.53
18569,9.57,0.58,-2.01,2.53
18598,9.65,0.55,-1.84,2.53
18627,9.55,0.61,-1.98,2.52
18657,9.60,0.52,-2.01,2.52
18685,9.56,0.58,-1.97,2.53
18714,9.59,0.52,-1.99,2.52
18744,9.61,0.52,-1.96,2.53
18772,9.61,0.50,-1.98,2.53
18802,9.55,0.61,-1.92,2.53
18831,9.53,0.51,-1.95,2.53
18861,9.57,0.59,-1.97,2.53
18889,9.60,0.56,-2.04,2.53
18918,9.56,0.55,-1.96,2.53
18948,9.60,0.54,-1.96,2.53
18976,9.61,0.57,-2.02,2.53
19006,9.63,0.56,-1.98,2.53
19035,9.55,0.49,-1.92,2.53
19064,9.58,0.57,-1.94,2.53
19093,9.52,0.56,-2.00,2.53
19123,9.62,0.54,-1.94,2.52
19151,9.68,0.48,-1.97,2.53
19180,9.58,0.53,-1.96,2.53
19210,9.55,0.55,-1.91,2.52
19238,9.55,0.56,-1.93,2.53
19268,9.62,0.56,-1.99,2.52
19297,9.58,0.51,-1.93,2.53
19326,9.65,0.60,-2.04,2.52
19355,9.64,0.57,-1.99,2.53
19384,9.55,0.57,-1.92,2.53
19414,9.59,0.55,-1.96,2.53
19442,9.61,0.53,-1.95,2.53
19472,9.62,0.51,-1.97,2.54
19501,9.59,0.54,-1.95,2.53
19530,9.61,0.50,-1.94,2.54
