Time,X,Y,Z,Sound
18250,8.76,-3.05,-1.55,2.53
18281,9.14,-1.73,-2.79,2.53
18311,12.69,-4.57,-3.03,2.54
18342,8.68,-2.23,-2.30,2.53
18372,11.03,0.44,-1.40,2.54
18403,10.35,-4.21,-3.69,2.55
18434,8.29,-1.83,-2.30,2.54
18464,10.41,-0.78,-2.31,2.54
18495,11.27,-3.58,-2.13,2.54
18527,3.22,0.62,1.02,2.53
18554,10.49,0.24,-1.48,2.54
18584,8.66,-2.84,-0.30,2.53
18615,10.29,-4.35,-2.82,2.54
18646,8.12,1.17,-2.86,2.54
18675,12.76,-6.78,-7.11,2.53
18706,8.12,-2.02,-2.85,2.54
18737,8.38,-2.67,-8.06,2.54
18766,9.72,6.43,-5.12,2.53
18796,15.48,-1.12,1.18,2.55
18826,14.17,1.10,-0.56,2.54
18856,6.70,-3.71,-3.49,2.54
18886,7.58,-1.33,0.17,2.54
18915,9.31,-3.34,-1.50,2.55
18946,11.83,-3.41,0.66,2.54
18975,9.12,-1.48,0.80,2.54
19005,9.11,0.54,-1.58,2.54
19034,10.55,-2.77,-4.27,2.53
19065,6.83,-0.30,-5.36,2.55
19095,10.07,-1.23,-3.20,2.53
19127,5.25,-1.69,-2.54,2.53
19156,7.23,0.78,-2.33,2.54
19185,10.52,0.76,-3.77,2.53
19216,6.18,-3.77,-0.95,2.53
19246,11.34,-2.89,-1.69,2.54
19277,9.50,-3.96,-4.82,2.55
19307,10.36,-0.83,3.55,2.56
19338,10.64,-1.26,-1.88,2.54
19368,7.65,-1.66,-2.12,2.55
19399,8.86,0.53,-5.17,2.54
19428,10.77,-2.61,-0.68,2.53
19460,8.63,1.73,-1.00,2.54
19488,5.06,-3.49,-1.06,2.54
19518,11.91,-4.14,-1.73,2.54
19550,8.79,-4.53,-1.42,2.54
19579,11.86,-1.41,-1.92,2.55
19611,7.47,-0.10,-1.79,2.54
19641,10.72,-1.60,-1.42,2.54
19673,9.67,-1.54,-1.21,2.53
19702,10.06,-2.92,0.71,2.54
19733,9.69,-1.84,0.74,2.54
19762,12.02,-0.77,0.16,2.54
19792,12.03,-0.81,-1.05,2.55
19823,8.95,-0.36,-1.89,2.54
19853,9.44,-1.37,-1.70,2.53
19884,7.99,-9.14,-3.33,2.54
19913,11.37,-2.01,-1.24,2.54
19945,12.24,-2.75,1.25,2.53
19975,11.97,-5.97,-2.16,2.54
20006,6.88,-1.06,-3.33,2.53
20036,8.51,-3.61,-4.79,2.54
20067,6.87,0.80,-3.70,2.54
20096,9.46,-2.59,-1.86,2.54
20126,10.41,-3.74,-0.53,2.54
